slug|category|name|price|stock|weight_g|material|specification|description|care|image_subject
table-runner|家纺织物|席间 棉麻桌旗|79.00|90|260|棉、亚麻|30 × 180 cm，原麻色|窄长桌旗适合餐桌中央铺陈，保留桌面木纹。|避免油污久留，轻柔手洗。|one natural linen table runner loosely folded with narrow fringed ends
apron|家纺织物|小厨 棉质围裙|69.00|140|230|棉|均码，墨绿色，前置口袋|长系带方便调节，前袋可临时放置轻便工具。|机洗前系好带子，勿接触明火。|one forest green cotton kitchen apron with front pocket laid neatly flat
placemats|家纺织物|餐序 编织餐垫|49.00|165|240|棉绳|直径 35 cm，米色，2 片装|圆形编织餐垫划分餐位，适合日常餐桌布置。|不作为高温锅垫，局部清洁。|two round beige woven cotton placemats partially overlapping
sleep-mask|家纺织物|晚安 立体遮光眼罩|39.00|190|35|聚酯纤维、海绵|可调节头带，石墨灰|立体眼窝减少贴压感，适合休息与旅途遮光。|手洗晾干，不用于驾驶时佩戴。|one graphite grey contoured sleep eye mask with adjustable elastic strap
notebook|文具办公|留白 点阵笔记本|39.00|240|260|纸、布面封皮|A5，160 页，灰蓝色|点阵内页适合任务记录、手账和草图整理。|保持干燥，避免油墨未干时合页。|one slate blue cloth covered A5 notebook closed with elastic band, no text
gel-pens|文具办公|顺写 中性笔套装|25.00|300|60|ABS、油墨|0.5 mm，黑色墨水，3 支装|细线条适合日常笔记，笔夹便于固定在本页。|笔尖向下防漏摔，使用后盖好笔帽。|three matte black gel pens with caps neatly aligned, no branding
pen-cup|文具办公|笔立 金属笔筒|35.00|180|160|钢|直径 8 cm，高 10 cm，奶油白|直筒造型集中收纳常用笔，圆边方便拿取。|干布擦拭，避免长期潮湿。|one cream white cylindrical metal pen cup empty
desk-mat|文具办公|平域 桌面软垫|89.00|110|540|PU、软木|80 × 40 cm，浅棕色|宽幅桌垫用于键鼠与书写区，软木底面增加摩擦。|湿布轻擦，不用酒精强擦。|one large tan rectangular desk mat with rounded corners and visible cork edge, no objects
bookends|文具办公|页停 金属书立|49.00|120|420|钢|高 18 cm，雾蓝色，2 只装|L 形书立用于整理书架两端的书籍。|均衡受力，避免尖角划伤桌面。|a pair of dusty blue L shaped metal bookends without books
document-folder|文具办公|归档 风琴文件夹|39.00|180|230|PP|A4，12 格，深灰色|多格分区用于归档票据与文件，扣带便于合拢。|不要过量塞入文件，远离火源。|one dark grey expanding accordion document folder slightly open showing compartments, no labels
sticky-notes|文具办公|页签 彩色便签组合|19.00|320|110|纸|75 × 75 mm，四色，共 200 张|柔和配色用于待办与阅读标记，便于按主题区分。|在干燥平整表面使用。|four small square pastel sticky note pads in cream lavender sage and pink, no writing
book-stand|文具办公|阅木 折叠阅读架|99.00|85|650|竹、金属|28 × 20 cm，可折叠|支撑书本与阅读材料，桌面阅读时保持书页展开。|调节时避开夹手位置，不放过重物品。|one adjustable bamboo tabletop book stand with page clips, empty and unfolded
scissors|文具办公|剪序 办公剪刀|29.00|210|85|不锈钢、ABS|全长 18 cm，灰色手柄|日常裁纸与包装开封使用，椭圆手柄便于握持。|刀刃锋利，远离儿童。|one pair of office scissors with grey handles and stainless steel blades, closed
desk-clock|文具办公|时序 桌面指针钟|89.00|95|280|ABS、玻璃|直径 12 cm，奶油白，电池式|小巧桌钟适合书架或工作台，使用指针显示时间。|放置于平稳干燥处，电池另配。|one small cream round analog desk clock with simple black hands and minimalist tick marks, no numbers or words
wireless-mouse|数码配件|轻点 无线鼠标|89.00|160|85|ABS|2.4 GHz 接收器，石墨灰，电池式|适合基础办公指针操作，左右对称机身便于收纳。|接收器需 USB-A 接口，电池另配。|one graphite grey wireless computer mouse with scroll wheel and tiny USB receiver beside it
keyboard|数码配件|方寸 有线紧凑键盘|169.00|90|520|ABS|USB-A，紧凑布局，浅灰色|紧凑键盘减少桌面占用，适合文字输入与日常办公。|购买前核对接口，不具备无线功能。|one compact light grey wired computer keyboard with blank keycaps and simple USB cable
usb-hub|数码配件|扩界 USB-C 扩展坞|149.00|115|95|铝合金|USB-C 输入，2 个 USB-A、1 个 HDMI|用于连接外设，视频输出需主机接口支持。|先确认主机视频输出能力，不保证所有设备兼容。|one slim space grey aluminum USB C hub with short attached cable, two USB A ports and one HDMI port
laptop-stand|数码配件|抬望 铝合金电脑支架|129.00|105|640|铝合金|适用 11–15 英寸，折叠式，银色|抬高笔记本屏幕，开放结构方便桌面线材整理。|放在平稳桌面，使用前确认支撑锁定。|one silver aluminum folding laptop stand with two supporting rails, no laptop
phone-stand|数码配件|立屏 手机桌面支架|39.00|220|130|铝合金、硅胶|折叠式，银色，单件|小支架用于桌面观看与视频通话，底部留有充电空间。|调整角度后再放置手机。|one small silver aluminum folding phone stand with black rubber pads, no phone
usb-c-cable|数码配件|织连 USB-C 数据线|39.00|300|45|尼龙、铝合金|USB-C 至 USB-C，1 m，深灰色|编织外层便于收纳，适合日常设备连接。|不拉扯接口；功率需与设备和电源匹配。|one coiled dark grey braided USB C to USB C cable, both connectors visible
laptop-sleeve|数码配件|护行 电脑内胆包|89.00|130|230|聚酯纤维|内尺寸 33 × 23 cm，浅灰色|薄型内胆包用于减少背包内摩擦，拉链口便于取放。|先核对设备实际外形尺寸，非防摔保护箱。|one light grey fabric slim laptop sleeve with zipper, no laptop
headphone-stand|数码配件|声栖 耳机支架|69.00|110|240|铝合金、硅胶|高 25 cm，黑色，单件|竖向支撑用于整理头戴耳机，底座留出线材空间。|居中放置耳机，避免侧向碰撞。|one matte black minimalist over ear headphone stand, empty with curved top and round base
screen-cloth|数码配件|清屏 超细纤维擦拭布|19.00|350|25|聚酯纤维、锦纶|20 × 20 cm，灰色，2 片装|柔软织面用于擦拭屏幕与眼镜外表面。|勿夹带砂粒擦拭，清洁前关闭设备。|two folded grey microfiber screen cleaning cloths with neatly finished edges
cable-clips|数码配件|理线 硅胶桌边线夹|25.00|280|45|硅胶|五孔款，深灰色，单件|五个槽位便于固定常用线材位置，减少滑落桌后。|粘贴前清洁平面，不承受拉拽重物。|one dark grey silicone desktop cable holder with five rounded cable slots
canvas-tote|通勤出行|日携 帆布托特包|79.00|150|260|棉帆布|36 × 32 × 10 cm，原白色|大开口托特适合书本与日常杂物，双肩带便于提携。|冷水手洗，首次清洗可能轻微缩水。|one natural off white cotton canvas tote bag with two shoulder handles, no print
daypack|通勤出行|城市 轻量双肩包|199.00|80|480|聚酯纤维|约 18 L，深绿色|双肩背负用于日常通勤，前袋存放随手小物。|不作为专业登山装备，局部清洁。|one forest green minimalist day backpack with front zipper pocket and two shoulder straps
crossbody-bag|通勤出行|漫步 小号斜挎包|99.00|120|220|尼龙|22 × 16 × 7 cm，炭黑色|紧凑包体容纳手机与钥匙，可调节肩带适合轻装出门。|勿过量装填，远离尖锐物。|one small black nylon crossbody bag with adjustable shoulder strap and zipper
travel-pouch|通勤出行|途整 洗漱收纳包|59.00|150|140|聚酯纤维|24 × 14 × 10 cm，雾蓝色|宽开口便于整理洗漱用品，侧提手方便取放。|瓶装液体需自行密封，非防漏容器。|one dusty blue rectangular toiletry travel pouch with zipper and side handle
packing-cubes|通勤出行|行格 旅行整理袋套装|89.00|110|240|聚酯纤维、网布|大中小 3 件，灰色|网面便于识别衣物，三种尺寸适合分区打包。|不要拉扯过满的拉链。|three grey travel packing cubes of different sizes with mesh top panels
folding-umbrella|通勤出行|晴雨 三折晴雨伞|89.00|140|320|聚酯纤维、金属|展开直径 96 cm，藏蓝色|折叠后便于随包携带，用于一般天气遮雨。|强风时收伞，湿伞晾干再收纳。|one navy blue compact folding umbrella partially open, plain canopy and black handle
neck-pillow|通勤出行|旅枕 U 形旅行枕|79.00|95|280|聚酯纤维、泡棉|U 形，深灰色，可拆洗外套|柔软枕体用于交通途中休息，弧形贴合颈侧。|非医疗器械，枕芯不可机洗。|one dark grey U shaped travel neck pillow with smooth fabric cover
luggage-tag|通勤出行|识途 行李挂牌|25.00|220|30|PU、金属|10 × 6 cm，焦糖色|标签卡置于翻盖内，便于区分行李与旅行包。|仅填写必要联系方式。|one caramel brown leatherette luggage tag with strap, blank covered card window
passport-wallet|通勤出行|证序 旅行证件夹|69.00|100|90|PU|14 × 10 cm，深棕色|多夹层整理旅行证件与卡片，薄型设计便于随身携带。|避免潮湿和高温，不宣称防盗刷。|one dark brown faux leather passport wallet open with empty slots, no documents
folding-duffel|通勤出行|轻装 折叠旅行袋|119.00|85|350|尼龙|约 30 L，石墨灰|备用旅行袋便于扩展行李空间，可折叠收纳。|重量均匀分配，不装尖锐物。|one graphite grey lightweight duffel travel bag with two handles and shoulder strap
yoga-mat|运动户外|舒展 TPE 瑜伽垫|129.00|100|850|TPE|183 × 61 cm，厚 6 mm，雾紫色|基础练习垫用于居家伸展与地面动作。|在干燥平整地面使用，不替代专业防护。|one lavender yoga mat partly rolled with subtle textured surface
yoga-block|运动户外|稳式 瑜伽砖|39.00|180|160|EVA|23 × 15 × 7.5 cm，鼠尾草绿|轻量砖块用于基础伸展时辅助支撑。|避免站立于不稳定表面，不作高处踏台。|one sage green rectangular yoga block with rounded edges
resistance-band|运动户外|轻练 弹力带|35.00|210|80|TPE|长 1.5 m，紫色，单条|柔性长带用于轻量活动与拉伸练习。|使用前检查裂口，避免对准面部拉伸。|one long lavender flat exercise resistance band loosely folded without handles
foam-roller|运动户外|松弛 泡沫滚轴|69.00|105|310|EVA|长 33 cm，直径 14 cm，灰色|圆柱滚轴用于运动后的一般放松练习。|力度以舒适为限，不用于伤处或治疗。|one grey cylindrical foam exercise roller with fine texture, no spikes
jump-rope|运动户外|跃动 可调节跳绳|39.00|190|160|PVC、ABS|绳长约 2.8 m，黑色|基础跳绳用于日常运动，绳长可按身高调整。|在宽敞防滑空间使用，避开周围人群。|one black skipping rope with two simple handles and loosely coiled cable
gym-towel|运动户外|速干 运动毛巾|35.00|170|90|聚酯纤维|40 × 80 cm，雾蓝色|轻量毛巾便于运动包收纳，用于运动时擦汗。|使用后及时清洗晾干。|one folded dusty blue microfiber sports towel with small hanging loop
picnic-mat|运动户外|野餐 折叠野餐垫|119.00|75|620|聚酯纤维、PE|150 × 180 cm，米绿格纹|大尺寸铺垫用于草地休息，折叠后用提带固定。|避开尖石和积水，不接近火源。|one sage and cream checkered picnic blanket folded with tan carry handle
camping-stool|运动户外|小憩 折叠户外凳|99.00|80|750|钢、聚酯纤维|展开约 30 × 30 × 35 cm，黑色|小型折叠凳适合临时休息，交叉支架便于收纳。|仅在平地坐用，禁止站立或摇晃。|one small black folding camping stool with fabric seat and crossed metal legs
dry-bag|运动户外|岸行 卷口收纳袋|69.00|110|180|涂层聚酯纤维|约 10 L，橙色，卷口扣|卷口袋用于户外衣物分类与防泼溅收纳。|不用于水下存放贵重物品，不作救生装备。|one orange roll top dry bag with black buckle closure, no branding
camping-lantern|运动户外|暮营 便携营地灯|139.00|90|290|ABS、金属|电池式 LED，暖光，浅绿色|提手方便悬挂，适合帐篷附近与桌面氛围照明。|电池另配，不在雨中或密闭高温处使用。|one sage green portable camping lantern with carry handle and warm frosted light panel
ceramic-vase|家居日用|枝影 陶瓷花瓶|89.00|80|580|陶瓷|高 22 cm，奶油白，窄口|柔和轮廓适合少量枝叶与干花布置。|放置平稳，底部垫软布防刮。|one ivory ceramic narrow neck vase with rounded body, empty
candle|家居日用|烛光 无香杯蜡|59.00|130|330|植物蜡、玻璃|净蜡重 160 g，琥珀色杯|无香杯蜡用于居家氛围布置，不添加香型描述。|点燃时有人看护，远离织物与儿童。|one amber glass jar candle with cream wax and unlit wick, no label
photo-frame|家居日用|留影 原木相框|49.00|150|270|木、亚克力|适配 6 英寸照片，原木色|简洁边框用于桌面留影，可横向或竖向摆放。|避免暴晒，面板用软布轻擦。|one natural wood photo frame with blank cream insert and tabletop stand, no photo
round-mirror|家居日用|映日 桌面圆镜|79.00|100|420|玻璃、钢|镜面直径 18 cm，奶油白支架|小圆镜适合梳妆台日常整理，稳定圆底座。|远离儿童，破损后停止使用。|one small round tabletop mirror with cream metal stem and circular base
tissue-box|家居日用|纸间 木盖纸巾盒|59.00|140|310|PP、竹|22 × 13 × 10 cm，白色盒身|顶部抽取口便于单张拿取，竹盖可打开补充。|核对纸巾尺寸，保持干燥。|one white rectangular tissue box with bamboo lid and a single white tissue emerging
soap-dispenser|家居日用|净手 陶瓷皂液瓶|49.00|125|350|陶瓷、ABS|350 mL，灰绿色，泵头|可重复补充的泵瓶用于洗手液收纳。|仅装适合泵头的液体，定期清洁。|one sage grey ceramic soap dispenser with matte black pump
toothbrush-cup|家居日用|晨净 陶瓷漱口杯|29.00|180|240|陶瓷|250 mL，浅灰色，无把手|小口径直筒用于浴室洗漱，素色外观便于搭配。|用后倒置晾干，避免磕碰。|one pale grey ceramic bathroom tumbler without handle, empty
door-mat|家居日用|归家 棉织地垫|79.00|95|560|棉、橡胶|45 × 70 cm，米灰条纹|薄型门垫用于室内玄关，帮助整理入户空间。|地面与垫底保持干燥，不铺在台阶上。|one rectangular beige grey striped indoor doormat with low pile texture
wooden-hangers|家居日用|衣栖 木质衣架|59.00|170|420|木、金属|宽 44 cm，原木色，5 只装|圆润肩部用于日常上衣悬挂，横杆方便搭放。|不长期悬挂湿衣，避免超重。|five natural wooden clothes hangers with silver hooks neatly stacked
door-stop|家居日用|停门 楔形门挡|19.00|240|90|硅胶|12 × 4 × 3 cm，浅灰色|楔形结构用于临时固定普通室内门。|不阻挡消防通道，使用前确认摩擦稳定。|one light grey silicone wedge door stop with ridged surface
plant-pot|阳台园艺|植白 陶瓷花盆|59.00|100|620|陶瓷|口径 14 cm，白色，含托盘|带底孔花盆用于小型盆栽，配套托盘承接余水。|浇水后及时清理托盘积水。|one white cylindrical ceramic plant pot with matching saucer, empty
watering-can|阳台园艺|细雨 长嘴浇水壶|79.00|85|310|不锈钢|1 L，鼠尾草绿，细长嘴|长嘴方便靠近盆土浇水，适合室内小盆栽。|不用于食品，使用后倒空。|one sage green metal indoor watering can with long narrow spout and top handle
plant-mister|阳台园艺|晨露 玻璃喷雾瓶|39.00|130|220|玻璃、ABS|250 mL，透明，金色泵头|细雾喷头用于适宜植物的局部叶面喷洒。|装清水使用，不存放腐蚀性液体。|one clear ribbed glass plant mister with brass colored pump and curved finger handle
garden-trowel|阳台园艺|松土 园艺小铲|29.00|180|160|钢、木|全长 27 cm，木柄|窄铲面适合小花盆换土与挖取基质。|清除泥土并擦干，远离儿童。|one small garden hand trowel with stainless steel scoop and wooden handle
pruning-shears|阳台园艺|修枝 园艺修枝剪|59.00|110|190|钢、ABS|全长 19 cm，绿色手柄|短刃修枝剪用于细小枝条与枯叶整理。|剪刃锋利，收纳时扣上安全扣。|one green handled garden pruning shear closed with safety catch, small curved steel blades
gardening-gloves|阳台园艺|护植 园艺手套|25.00|170|80|聚酯纤维、涂层|M 码，绿色，一双|手套用于轻量园艺操作时减少手部沾污。|不用于防切割或化学品作业。|one pair of green fabric gardening gloves with darker coated palms
plant-labels|阳台园艺|识苗 竹制植物标签|19.00|240|45|竹|长 15 cm，10 枚装|空白标签用于记录盆栽名称与播种日期。|铅笔书写，长期潮湿会改变颜色。|ten blank bamboo plant label stakes arranged in a neat fan
plant-stand|阳台园艺|植台 木质花盆架|99.00|70|720|木|高 30 cm，适配盆径不超过 20 cm|交叉支架将小花盆抬高，适合室内角落摆放。|不作座凳，放在平稳干燥地面。|one natural wooden mid century style low plant stand with four legs, empty
seedling-tray|阳台园艺|育苗 十二格育苗盘|29.00|160|180|PP|12 格，含透明盖，深绿色|分格容器用于家庭播种观察，透明盖便于查看。|适时通风，避免长时间暴晒。|one dark green twelve cell seed starting tray with clear transparent dome lid
jute-twine|阳台园艺|束枝 黄麻园艺绳|19.00|250|100|黄麻|约 50 m，原麻色，一卷|柔性绳材用于轻量枝条绑扎与园艺手作。|不用于承重或安全悬挂。|one spool of natural jute garden twine with loose short end
